FILENAME,THEM,YOU,CLAUSE,LABEL,PARTY,sublabel
yahoo.txt,Yahoo,you,"By submitting ideas, suggestions, documents, and/or proposals ("" Contributions "") to Yahoo through its suggestion or feedback webpages, you acknowledge and agree that: (a) your Contributions do not contain confidential or proprietary information; (b) Yahoo is not under any obligation of confidentiality, express or implied, with respect to the Contributions; (c) Yahoo shall be entitled to use or disclose (or choose not to use or disclose) such Contributions for any purpose, in any way, in any media worldwide; (d) Yahoo may have something similar to the Contributions already under consideration or in development; (e) your Contributions automatically become the property of Yahoo without any obligation of Yahoo to you; and (f) you are not entitled to any compensation or reimbursement of any kind from Yahoo under any circumstances.",R,T,NO_RESPONSIBILITY
yahoo.txt,Yahoo,you,You are responsible for maintaining the confidentiality of the password and account and are fully responsible for all activities that occur under your password or account.,R,Y,ABSOLUTE_RESPONSIBILITY
yahoo.txt,Yahoo,you,"You are responsible for obtaining access to the Yahoo Services, and that access may involve third-party fees (such as Internet service provider or airtime charges).You are responsible for those fees, including those fees associated with the display or delivery of advertisements.",R,Y,ABSOLUTE_RESPONSIBILITY
yahoo.txt,Yahoo,you,"In addition, you must provide and are responsible for all equipment necessary to access the Yahoo Services.",R,Y,ABSOLUTE_RESPONSIBILITY
yahoo.txt,Yahoo,you,"You agree that you must evaluate, and bear all risks associated with, the use of any Content, including any reliance on the accuracy, completeness, or usefulness of such Content.",R,Y,ABSOLUTE_RESPONSIBILITY
peter_ica.txt,Contractor,Customer,The Contractor hereby agrees to provide all agreed Services to the Customer. ,R,T,ABSOLUTE_RESPONSIBILITY
peter_ica.txt,Contractor,Customer,B. The Contractor is agreeable to providing such services to the Customer on the terms and conditions set out in this Agreement. ,R,T,ABSOLUTE_RESPONSIBILITY
peter_ica.txt,Contractor,Customer,"12. The Customer will provide the necessary product, technical, and market support necessary for Contractor to perform their tasks. ",R,Y,ABSOLUTE_RESPONSIBILITY
peter_ica.txt,Contractor,Customer,"8. For the services rendered by the Contractor as required by this Agreement, the Customer will provide compensation (the "" Compensation "") to the Contractor of $5,000.00 USD per month. ",R,Y,ABSOLUTE_RESPONSIBILITY
Google_Construction_Agreement.txt,Contractor,Owner,"3. If the Owner or Contractor terminates the Contract pursuant to Paragraph XIV.A.1 after commencement of the Construction Phase, the Contractor shall, in addition to the compensation set forth in Paragraph XIV.A.2 above, be paid an amount calculated as follows: ",R,Y,ABSOLUTE_RESPONSIBILITY
Google_Construction_Agreement.txt,Contractor,Owner,"The Contractor agrees to provide all services, labor, materials, supplies, appliances, tools, equipment, and supervision and to do all things necessary to construct and complete the Work (as defined below).",R,T,ABSOLUTE_RESPONSIBILITY
Google_Construction_Agreement.txt,Contractor,Owner,"To the extent that Owner elects to take legal assignment of subcontracts and purchase orders (including rental agreements) pursuant to this Paragraph XIV.A or Paragraph XIV.C below, Contractor shall execute and deliver all such assignment documentation and take all such steps as Owner may require for the purpose of fully vesting in the Owner the rights and benefits of the Contractor under such subcontracts or purchase orders, and the same shall be a condition precedent to Contractor's receipt of any additional payments that may be required hereunder.",R,T,ABSOLUTE_RESPONSIBILITY
Google_Construction_Agreement.txt,Contractor,Owner,"Subcontracts, purchase orders and rental agreements entered into by the Contractor shall contain provisions permitting assignment to the Owner as described herein.",R,T,ABSOLUTE_RESPONSIBILITY
Google_Construction_Agreement.txt,Contractor,Owner,"If the Owner elects not to accept the assignment of any such subcontract, purchase order or rental agreement, the Contractor shall terminate such subcontract, purchase order or rental agreement. ",R,T,ABSOLUTE_RESPONSIBILITY
Google_Construction_Agreement.txt,Contractor,Owner,"If the cause of such stoppage of the Work is removed within sixty (60) days after Contractor so ceases construction, Contractor shall resume construction and proceed with the Work, provided, however, that the amount payable to Contractor hereunder and the Guaranteed Maximum Price shall be subject to adjustment as provided in Article VI.",R,T,CONDITIONAL_ABSOLUTE_RESPONSIBILITY
Google_Construction_Agreement.txt,Contractor,Owner,"B. The Contractor shall provide a preliminary evaluation of the Owner's program and Project budget requirements, each in terms of the other.",R,T,ABSOLUTE_RESPONSIBILITY
Google_Construction_Agreement.txt,Contractor,Owner,The Contractor shall jointly schedule and attend regular meetings with the Owner and Architect.,R,T,ABSOLUTE_RESPONSIBILITY
Google_Construction_Agreement.txt,Contractor,Owner,"The Contractor shall consult with the Owner and Architect regarding site use and improvements and the selection of materials, building systems and equipment.",R,T,ABSOLUTE_RESPONSIBILITY
Google_Construction_Agreement.txt,Contractor,Owner,"The Contractor shall provide recommendations on construction feasibility; actions designed to minimize adverse effects of labor or material shortages; time requirements for procurement, installation and construction completion; and factors related to construction cost, including estimates of alternative designs or materials, preliminary budgets and possible economies. ",R,T,ABSOLUTE_RESPONSIBILITY
